,username,date,review_text
43,savannahreadss,1766016000000,Not my kind of book but I can understand the hype
44,Kaya Wentz,1766016000000,"“HubSystem”, “Deltfall”, “SecUnit”, “EvilSurvey”: modern soft SF bears striking similarities to NewSpeak from 1984. It really disappoints me to see how far the Hugo and Nebula awards have fallen. modern-sf sf-hugo-nebula-winners 1 like"
45,Sinclair Sting,1766016000000,"This book slaps! Punchy, funny, with action that feels both impactful and awesome, it's totally worth the read. And as an introduction to Wells' End-Stage Capitalist Corporation Rim, it's also socially conscious sci-fi that never gets preachy!"
46,Megan Bowden,1766016000000,"I've been hearing this book talked about in the same breath as Becky Chambers work for a couple of years now and, my goodness, HOW? I might actually be legitimately angry how much it has been oversold. This has to be one of the most generic books I've ever read--plot, characterization, writing. If you told me this was AI slop, I would believe you. At best, it reads like fanfiction, yet I've read plenty of fanfiction that works much harder at being entertaining than this. I thought Murderbot (both the character and the book) was supposed to be unique, quirky, droll. Instead, neither has any personality whatsoever. And, perhaps worse, the author has no idea how to punctuate. 2025 books-to-never-read-again"
47,Sophia,1766016000000,"People have been telling me I would like this series for years hahaha, happy to say I did indeed like this first one!! And it was refreshing to read a novella 2 likes"
48,Ashley Campbell,1766016000000,This was so good! I loved Murderbot's narrative. 2 likes
49,Lauren Levine,1766016000000,"Fun, light, quirky sci fi read"
50,Cara Wood,1766016000000,"First in the Murderbot Diaries series. I was introduced to this universe through the TV show first. This novella was not what I was expecting, Wells inhabits the manner and style of a rogue Sec Unit while revealing intriguing details of a human world filled with space travel, polyamory, and corporate greed."
51,audere,1765929600000,"It was a very engrossing read, I was afraid na mauuna ko siyang matapos kesa dun sa mga nasimulan ko na kaya I stopped reading i kaya ngayon ko lamg siya natapos. Definitely mabibilis ang pangyayari. Though I was expecting it to be funnier pero di pala. Akala ko it will focus on her life kung saan she kept on watching things. Will definitely tune in on the next book."
52,Amreet Kooner,1765929600000,"Honestly, I didn’t find this book all that entertaining. I understand it's a novella, but the first half was deadass just “I did this,” “Then I did this,” “Then that happened,” “Then this happened”. For a short and light read, it did leave me relatively bored. Also, unfortunately didn't laugh once. I wanted humour! Though, since this series is rated so highly, I am gonna give Artificial Condition a shot."
53,Amber,1765929600000,I hope the sequel is just a list of Murderbot’s top TV recommendations.
54,Cath Derleth,1765929600000,"Extremely well written, hooked from the first page."
55,peter lang,1765929600000,"Fun read I loved its delicious humor. In some ways it reminded me of The Martian by Andy Wier,if you enjoyed that one you'll have to try this book"
56,Ryan McGorty,1765929600000,Quick & fun sci-fi adventure!
57,Rachel,1765929600000,mur? murder sci-fi
58,Emma,1765929600000,I’m a robot too bc I love watching TV
59,Emmawiththebooks,1765929600000,*4.5 3 likes
60,Mikaela,1765929600000,Well that audiobook was only 3 hours long so... 3/3.5 I'm not a big SF person so really I think 3 hours was a good amount for me to be able to enjoy it without me getting lost (I get lost easily)
61,Katherine Gunn,1765929600000,Murder Bot got the jokes! Read this to have something short but ended up really liking it!
62,April Martinez,1765929600000,"I’m still not sure Sci Fi is “my genre”, but I did enjoy the fast pace and found family aspect. would like to read the next book at least, to see where the story is heading."
63,Albert S,1765929600000,"M'ha agradat aquesta proposta de ciència ficció ""lleugera"" amb tocs d'humor al voltant, sobretot, de l'autoconsciència d'un ""robot"". Ara a investigar si puc veure la sèrie de Murderbot 😁"
64,Juan Rivera,1765929600000,"I just finished reading “All Systems Red” by Martha Wells and I absolutely loved it. It’s a must-read if you enjoy sci-fi that makes you think about AI consciousness. The story revolves around a security android who becomes self-aware and ends up acting on its own judgment rather than its programming—set in a universe where humans explore planets and rely on these bots for protection. I’m not usually a big sci-fi reader (I prefer watching it on TV), but this book really grabbed me. I can see why it’s one of the Goodreads recommended reads this year. If you’re curious about the idea of AI gaining consciousness and choosing to help humans (rather than the opposite), definitely give it a go. lecturas-"
65,Sage,1765929600000,4.5! 2 likes
66,Zhanna Mi,1765929600000,Fun! I want more! good-enough
67,Meaghan McElroy,1765929600000,fun! I wish there was more worldbuilding but a quick fun read
68,Casey Bradford,1765929600000,"I thought I would dabble in a little science fiction and while I have nothing to compare this to, I thought it was just okay. Yes the character development of Murderbot was very cutesy but the plot was kinda boring and I was just confused the whole time. I asked chatGPT to explain it to me in simple terms and turns out I actually did understand…..it was just lackluster. I might give book two a chance just because they are so short."
69,Allie Daluge,1765929600000,A fun enough read but it didn't hook me the way it seems to have done with other people. TBD on if I'll be reading more on the series.
70,Kara Winkler,1765929600000,"easy read, lost me at some point in some of the mumbo jumbo of the setting and their jobs, liked that the narrator had a sense of humor"
